AgentID,Tgt_3YN,Age_Grp,Gender,Apply_CH,re_hire_freq_grp,Q2,Q7,Q8,Q18,Q22,Q38,rank_INDEX14,rank_INDEX18,rank_INDEX23,rank_INDEX27,rank_INDEX28,rank_INDEX29,rank_INDEX32,rank_INDEX44,rank_INDEX93,rank_AVG_AMT_6M
1,1,5060G,2,Vender,1,3,1,4,2,3,1,2,0,2,0,0,2,0,0,2,6
2,0,40G,1,MGM,1,4,1,7,1,3,2,3,0,1,1,1,0,2,2,3,7
3,0,40G,2,MGM,4~,3,2,3,2,4,2,2,0,0,0,0,0,0,0,0,5
4,0,40G,2,MGM,1,4,1,6,3,6,2,2,1,0,2,2,2,0,1,1,0
5,0,40G,2,MGM,1,2,2,5,2,1,1,1,1,2,2,3,2,1,1,2,6
6,0,5060G,2,MGM,2,4,2,3,2,3,1,1,1,2,2,2,3,0,1,2,3
7,0,40G,2,MGM,4~,2,2,5,2,5,1,2,2,1,2,2,2,2,2,1,5
8,0,5060G,2,MGM,1,3,3,4,2,1,2,1,0,0,2,2,2,0,0,0,7
9,0,5060G,2,MGM,4~,1,2,4,1,2,2,1,1,2,1,2,2,1,1,2,7
10,1,5060G,2,MGM,1,2,2,6,1,6,1,0,3,3,3,3,1,3,3,3,2
11,0,5060G,2,MGM,1,3,2,4,4,6,1,0,3,3,3,3,3,3,3,3,9
12,0,30G,2,MGM,1,2,1,3,3,3,1,3,2,1,0,0,0,1,1,3,1
13,0,5060G,2,MGM,3,3,5,3,1,1,1,1,1,2,2,2,1,0,0,1,4
14,0,5060G,2,MGM,4~,2,3,3,3,3,1,,,,,,,,,,2
15,0,5060G,2,MGM,3,1,3,4,3,2,2,0,2,2,1,1,1,2,2,1,2
16,0,5060G,2,MGM,1,3,2,4,1,5,1,2,2,2,2,3,3,1,1,1,8
17,0,40G,2,MGM,4~,3,2,5,2,2,2,3,0,0,0,0,0,0,0,0,5
18,0,5060G,2,MGM,2,3,2,5,1,6,1,0,3,3,3,2,3,2,2,3,8
19,0,5060G,2,MGM,3,2,2,4,3,6,2,1,3,3,2,3,2,3,3,3,6
20,0,5060G,2,MGM,3,3,2,3,2,3,1,1,3,1,2,2,3,2,2,0,8
21,1,40G,2,MGM,3,3,3,2,2,6,1,1,3,1,1,2,0,0,0,0,7
22,0,40G,2,MGM,0,3,2,4,2,1,1,2,3,2,2,3,3,2,2,2,5
23,1,5060G,2,MGM,4~,3,2,3,1,5,2,1,1,1,2,2,2,1,1,2,8
24,0,5060G,2,MGM,4~,3,2,3,1,1,2,2,2,2,2,0,3,3,3,3,9
25,0,40G,1,MGM,4~,1,2,3,2,1,1,2,0,1,0,1,0,0,0,0,5
26,0,5060G,2,MGM,4~,3,3,4,1,6,2,2,1,2,2,2,3,3,3,2,9
27,1,5060G,1,MGM,4~,3,1,4,2,1,2,0,3,3,3,3,0,3,3,3,9
28,0,5060G,2,MGM,4~,3,5,1,1,6,1,1,1,1,2,1,2,0,1,1,1
29,0,5060G,2,MGM,3,2,2,5,1,1,1,1,3,3,2,2,3,3,2,3,1
30,1,5060G,2,MGM,2,1,2,3,1,4,2,1,3,2,2,2,3,2,2,3,9
31,0,5060G,2,MGM,4~,1,1,3,1,1,1,0,3,3,3,3,2,2,2,3,7
32,0,5060G,2,MGM,4~,4,2,4,1,5,2,1,2,3,3,2,3,3,3,2,6
33,0,5060G,2,MGM,3,2,2,4,2,6,1,2,0,0,1,0,3,0,0,1,6
34,0,5060G,2,MGM,1,4,1,7,2,4,2,2,3,1,2,2,3,2,2,2,1
35,1,5060G,2,MGM,2,4,1,7,2,4,2,2,3,1,2,2,3,2,2,2,3
36,0,40G,1,Vender,4~,3,2,4,2,6,2,3,0,1,0,1,0,0,0,0,2
37,0,5060G,2,MGM,4~,1,2,5,2,6,1,1,0,0,2,2,2,0,0,1,7
38,1,5060G,2,MGM,2,4,2,4,3,3,2,0,3,3,3,1,0,3,3,3,2
39,1,40G,2,MGM,4~,4,3,7,2,6,2,2,1,1,1,2,1,2,2,1,6
40,0,5060G,2,MGM,3,2,5,1,1,6,1,0,3,3,3,3,3,3,3,3,4
41,0,5060G,2,MGM,4~,3,1,3,2,4,1,1,0,1,1,0,1,0,0,0,6
42,0,5060G,2,MGM,4~,3,1,7,4,1,1,2,0,0,0,0,2,0,0,0,2
43,0,5060G,2,MGM,2,2,1,5,2,1,2,1,3,3,2,2,3,2,2,2,6
44,0,5060G,2,MGM,3,3,2,4,2,1,2,1,0,1,1,0,2,0,1,0,6
45,0,5060G,2,MGM,3,3,1,5,2,6,2,0,3,3,3,3,3,3,3,3,3
46,1,5060G,2,MGM,1,3,2,7,1,1,2,2,0,0,0,0,2,0,1,0,8
47,0,40G,2,MGM,4~,3,2,4,2,1,1,2,0,0,0,0,1,0,0,0,4
48,0,30G,2,MGM,3,2,3,2,1,3,1,0,3,3,0,0,0,1,1,3,5
49,0,5060G,2,MGM,2,4,1,5,2,6,1,1,1,1,2,0,3,2,2,1,9
50,0,40G,2,MGM,1,1,1,5,1,6,2,2,2,0,2,2,2,2,2,1,5
51,0,5060G,2,MGM,2,4,2,4,2,5,2,0,1,1,1,1,3,0,0,1,7
52,0,30G,2,MGM,1,2,5,1,1,6,1,3,0,0,0,0,0,0,0,0,3
53,1,30G,1,MGM,4~,4,1,7,1,1,1,3,0,1,0,0,0,0,0,2,0
54,0,5060G,2,MGM,2,1,2,6,1,6,1,1,1,1,1,1,2,2,2,1,4
55,0,30G,2,MGM,2,3,2,6,2,6,2,3,1,1,0,0,0,0,0,1,9
56,0,5060G,2,MGM,3,2,2,6,2,1,1,1,2,3,3,1,0,0,1,3,7
57,0,5060G,2,MGM,3,1,1,7,1,1,1,1,3,3,3,3,3,3,3,3,6
58,0,5060G,2,MGM,1,3,2,4,3,4,2,0,2,3,1,1,2,0,1,2,8
59,0,40G,2,MGM,1,2,1,6,2,6,2,3,1,0,2,2,0,0,0,0,8
60,0,40G,2,MGM,1,3,4,4,3,5,2,2,2,0,1,3,1,2,2,3,8
61,1,30G,1,Vender,1,2,3,6,3,6,1,3,0,1,0,0,0,0,0,2,6
62,0,5060G,2,MGM,1,1,5,5,2,1,1,1,3,3,3,0,2,1,1,2,4
63,0,40G,2,MGM,1,3,2,6,1,5,1,2,0,0,0,1,1,0,0,0,5
64,0,5060G,2,MGM,1,4,2,4,2,1,2,1,0,0,0,0,2,0,1,0,9
65,0,40G,2,MGM,2,3,2,6,2,1,1,0,3,2,1,2,0,2,2,2,2
66,0,5060G,2,MGM,2,4,1,4,2,1,2,0,3,3,3,3,3,3,3,3,6
67,0,5060G,2,MGM,1,2,5,1,1,6,2,0,3,3,3,3,2,1,1,3,9
68,1,40G,2,MGM,1,3,3,4,2,2,1,1,3,2,2,2,2,3,3,2,4
69,0,30G,2,MGM,3,1,2,7,2,6,1,2,2,0,0,0,2,2,2,0,1
70,1,40G,2,MGM,1,3,1,5,2,6,1,2,0,0,0,1,0,0,1,3,8
71,0,5060G,2,MGM,1,1,2,3,1,1,2,1,3,2,3,2,2,3,3,1,8
72,0,5060G,2,MGM,2,3,3,2,2,4,1,2,1,1,1,1,3,3,3,1,8
73,0,30G,2,MGM,3,4,2,5,2,5,1,2,3,1,0,1,0,2,2,2,5
74,0,5060G,2,MGM,3,3,2,5,2,5,1,0,3,3,3,3,2,3,3,3,7
75,1,5060G,1,MGM,3,1,1,4,1,1,1,0,0,3,3,3,0,1,1,3,8
76,0,5060G,2,MGM,0,4,2,5,2,1,1,1,2,2,1,2,3,2,2,3,6
77,0,40G,1,MGM,1,3,4,2,4,6,2,3,0,2,2,3,0,1,1,1,0
78,0,5060G,2,MGM,1,3,5,4,2,2,1,2,0,0,1,0,1,0,0,0,3
79,0,5060G,2,MGM,1,1,3,4,1,6,1,2,2,2,2,2,2,3,2,2,9
80,0,5060G,2,MGM,2,3,2,5,1,5,1,0,3,3,3,3,2,3,3,3,5
81,0,5060G,2,MGM,3,3,2,4,2,1,2,0,3,3,3,2,3,3,3,3,7
82,0,40G,2,MGM,1,3,2,5,2,6,1,2,0,0,1,1,1,0,1,0,7
83,0,5060G,2,MGM,1,3,2,3,2,2,1,1,2,2,2,1,2,3,2,2,4
84,0,5060G,2,MGM,1,3,1,4,1,4,2,0,3,3,3,3,2,3,3,3,8
85,0,40G,2,MGM,1,2,2,5,2,1,2,2,2,1,1,1,1,2,2,1,6
86,1,5060G,2,MGM,1,3,2,5,1,1,1,1,0,1,0,1,1,1,1,1,9
87,0,40G,2,MGM,1,4,2,7,1,6,2,2,1,0,1,1,0,2,2,1,5
88,1,5060G,2,MGM,1,1,1,5,1,2,2,2,2,2,2,3,2,3,3,2,9
89,0,5060G,2,MGM,2,2,1,7,2,5,1,1,2,2,2,2,2,3,2,3,9
90,0,5060G,1,MGM,0,1,1,4,2,3,2,3,0,1,2,2,0,0,0,0,7
91,0,40G,2,MGM,1,3,2,3,3,1,1,2,1,0,0,1,2,0,0,0,7
92,0,5060G,2,MGM,1,1,2,5,2,3,1,1,2,3,2,2,3,3,3,3,7
93,0,5060G,2,MGM,1,3,2,6,2,1,1,1,0,1,2,2,2,2,2,1,2
94,1,40G,2,MGM,1,3,2,3,4,5,2,,,,,,,,,,9
95,0,30G,2,MGM,1,4,3,5,2,1,2,2,3,2,0,0,0,3,3,2,5
96,0,40G,2,MGM,1,3,2,7,2,6,1,3,0,0,0,1,0,0,0,0,3
97,0,40G,2,MGM,3,4,2,5,2,1,2,2,2,1,1,1,2,1,2,2,6
98,0,5060G,2,MGM,4~,3,2,3,2,1,1,1,0,0,0,0,1,0,0,0,0
99,0,5060G,2,MGM,1,3,1,6,1,6,1,2,0,0,0,0,2,0,0,1,2
100,1,40G,2,MGM,1,2,2,2,1,2,2,3,2,0,2,2,3,3,3,0,8
101,0,5060G,2,MGM,1,3,1,6,2,6,2,2,0,0,0,0,0,0,0,0,1
102,0,5060G,2,MGM,3,3,1,3,4,5,1,1,0,2,2,0,2,2,2,3,3
103,0,5060G,2,MGM,3,3,2,3,2,6,1,1,3,3,3,3,1,2,2,3,6
104,0,5060G,2,MGM,1,3,2,7,1,1,2,1,1,1,2,1,2,0,1,2,1
105,0,5060G,2,MGM,1,3,5,4,2,1,1,1,2,3,2,2,2,2,2,2,1
106,0,5060G,2,MGM,3,3,1,4,2,1,2,0,3,2,2,0,3,0,1,3,4
107,0,5060G,2,MGM,1,3,1,7,2,1,2,2,2,1,2,2,3,3,3,1,4
108,0,40G,2,MGM,1,1,5,4,2,1,1,2,3,2,2,2,2,3,3,3,5
109,0,5060G,2,MGM,2,3,1,7,2,1,1,2,0,0,0,0,2,0,0,0,0
110,0,5060G,2,MGM,1,4,2,5,1,1,2,1,1,2,2,1,2,1,1,1,3
111,0,40G,1,MGM,3,3,2,4,2,1,2,3,0,0,0,0,0,0,0,0,8
112,0,5060G,2,MGM,1,1,1,7,1,1,1,1,0,0,0,0,1,0,0,0,2
113,0,5060G,2,MGM,1,4,2,2,1,6,2,2,0,0,0,0,0,0,1,0,6
114,1,5060G,2,MGM,1,4,2,5,2,1,2,2,1,1,1,3,0,0,0,1,6
115,0,5060G,2,MGM,4~,4,2,3,1,3,1,1,3,3,3,2,3,3,3,3,8
116,0,5060G,2,MGM,1,1,1,5,3,1,1,1,0,1,0,1,2,0,0,1,2
