TOTAL_VALUE,PCA1,PCA2,LOT_SQFT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,YR_BUILT_Encoded,REMODEL_Unknown,REMODEL_Recent,REMODEL_Old
344.2,-0.077035811,1.588887455973501,9965,2436,1352,2,6,3,1,1,1,0,2,1,0,0
412.6,0.5550527660745803,-0.158697558,6590,3108,1976,2,10,4,2,1,1,0,3,0,1,0
330.1,-0.575678426,0.803296891,7500,2294,1371,2,8,4,1,1,1,0,2,1,0,0
498.6,3.8875610831292153,1.1814661048568913,13773,5032,2608,1,9,5,1,1,1,1,3,1,0,0
331.5,-0.868469146,-0.098895084,5000,2370,1438,2,7,3,2,0,1,0,3,1,0,0
337.4,-1.459504938,0.26964767457216376,5142,2124,1060,1,6,3,1,0,1,1,3,0,0,1
359.4,0.2952132248580874,-0.690107389,5000,3220,1916,2,7,3,1,1,1,0,3,1,0,0
320.4,-0.410853476,1.7740410781793818,10000,2208,1200,1,6,3,1,0,1,0,3,1,0,0
333.5,-0.806672846,0.6571972503271428,6835,2582,1092,1,5,3,1,0,1,1,4,0,1,0
409.4,2.704770500606871,-1.881607499,5093,4818,2992,2,8,4,2,0,1,0,2,1,0,0
313,-0.632059731,-0.215556101,5000,2624,1485,1.5,6,3,2,0,1,1,4,1,0,0
344.5,-0.203049767,0.31444504375059557,6768,2844,1460,1.5,6,3,2,0,1,1,4,1,0,0
315.5,-1.164937349,0.0535305,5000,2196,1290,2,6,3,1,0,1,0,2,1,0,0
575,3.070154919688833,0.9728670261722874,12288,4616,2378,2,9,4,2,1,1,1,4,1,0,0
326.2,-0.942473844,-0.05196736,5000,2536,1272,1.5,6,3,1,1,1,1,3,1,0,0
298.2,-1.707743202,0.3432734514057989,5000,2129,864,1,7,3,2,0,1,0,3,1,0,0
313.1,-0.363899794,0.4682888670898021,6949,2612,1438,1.5,7,3,1,1,1,0,2,0,0,1
344.9,-0.204280658,1.6580729775161431,10000,2099,1445,1,7,3,1,1,1,1,3,1,0,0
330.7,-0.804097069,-0.131981916,5000,2408,1470,2,7,3,1,0,1,0,3,1,0,0
348,0.3735120734581399,0.9531776499470489,9001,2840,1632,2,7,3,1,0,1,0,2,1,0,0
317.5,-1.895593302,0.1797105394705972,4450,1400,1232,2,7,3,1,0,1,0,3,1,0,0
330.8,-0.890446216,-0.078993821,5000,2560,1302,1.5,6,2,1,0,1,0,2,0,1,0
357.8,0.3624193522702131,2.334201841057105,12255,2631,1275,1.5,6,3,1,1,1,1,3,1,0,0
414.7,2.223120395103674,1.6855724189876538,12972,3796,2054,1.5,6,3,3,0,1,0,2,1,0,0
318.8,-0.892765625,-0.200136718,4717,2512,1371,2,7,3,1,1,1,0,2,1,0,0
346.2,-0.544819553,-0.261266077,5000,2655,1541,2,7,3,1,0,1,0,3,1,0,0
245.1,-1.950073322,0.098944587,4142,1892,927,1.5,5,2,1,0,1,0,2,1,0,0
317.4,-0.932050914,-0.055041794,5000,2596,1244,1.5,7,3,1,0,1,0,3,1,0,0
247.3,-1.75860741,-0.055223281,4012,1994,1048,1.5,6,3,1,0,1,0,2,1,0,0
320.8,-0.804764652,3.3498663182232873,13275,1516,808,1.5,6,2,1,1,1,0,3,1,0,0
328.8,-0.555597454,-0.368649818,4717,2824,1469,1.5,6,3,2,0,1,0,3,1,0,0
293.6,-1.051795311,-0.306023581,4289,2286,1436,2,7,3,1,0,1,0,3,1,0,0
280.1,0.77673356,1.460680322339499,10688,3014,1625,2,7,4,1,0,1,0,2,1,0,0
342.5,-0.395941523,-0.455640336,4717,2802,1620,2,7,3,1,1,1,0,3,1,0,0
337.2,0.20629052351928434,-0.646754964,5000,3112,1906,2,9,4,2,0,1,0,3,1,0,0
336.5,-0.679883167,0.5785622373339637,6842,2269,1393,2,6,3,2,0,1,0,3,1,0,0
315.6,-0.619069276,0.479972924,6675,2392,1394,1.5,6,2,2,0,1,0,3,1,0,0
296.5,-0.298020608,-0.089956788,5683,2982,1452,1,6,3,1,1,1,1,4,1,0,0
239.7,-1.53189343,0.43914826279137875,5450,2112,960,1,5,3,1,0,1,1,4,1,0,0
318.4,0.11727032517669955,-0.714465849,4717,3222,1803,1,7,3,1,1,1,0,3,1,0,0
431.5,0.2024243365623329,0.08252717,6733,2880,1792,2,7,3,2,1,1,1,4,0,0,1
349.8,-0.371564981,0.592113717,7242,2496,1460,2,7,3,1,1,1,0,3,1,0,0
344,0.29776707838218014,-0.40456961,5683,3136,1870,2,9,4,2,0,1,1,3,1,0,0
