TOTAL_VALUE,princ_1,princ_2,LOT_SQFT,GROSS_AREA,LIVING_AREA,FLOORS,ROOMS,BEDROOMS,FULL_BATH,HALF_BATH,KITCHEN,FIREPLACE,YR_BUILT_CAT_0,YR_BUILT_CAT_1,YR_BUILT_CAT_2,REMODEL_Unknown,REMODEL_Recent,REMODEL_Old
344.2,-0.07733284303490824,1.5890708410682477,9965,2436,1352,2.0,6,3,1,1,1,0,1,0,0,1,0,0
412.6,0.5545141968459955,-0.15842508275530034,6590,3108,1976,2.0,10,4,2,1,1,0,0,1,0,0,1,0
330.1,-0.5759490711202838,0.8033851290099975,7500,2294,1371,2.0,8,4,1,1,1,0,1,0,0,1,0,0
498.6,3.88653203546109,1.1823178279078823,13773,5032,2608,1.0,9,5,1,1,1,1,0,1,0,1,0,0
331.5,-0.8687628901091141,-0.0988712159292281,5000,2370,1438,2.0,7,3,2,0,1,0,0,1,0,1,0,0
337.4,-1.459678787196635,0.2695670506366657,5142,2124,1060,1.0,6,3,1,0,1,1,0,1,0,0,0,1
359.4,0.29466862648139636,-0.6898929171313,5000,3220,1916,2.0,7,3,1,1,1,0,0,1,0,1,0,0
320.4,-0.4110785607380749,1.7741691681344307,10000,2208,1200,1.0,6,3,1,0,1,0,0,1,0,1,0,0
333.5,-0.8069399333521861,0.6572271078085162,6835,2582,1092,1.0,5,3,1,0,1,1,0,1,0,0,1,0
409.4,2.7037189679675007,-1.8809913002600034,5093,4818,2992,2.0,8,4,2,0,1,0,1,0,0,1,0,0
313.0,-0.6324094301265165,-0.21549697574354956,5000,2624,1485,1.5,6,3,2,0,1,1,0,1,0,1,0,0
344.5,-0.2034378283092196,0.3145812870548363,6768,2844,1460,1.5,6,3,2,0,1,1,0,1,0,1,0,0
315.5,-1.165169795621563,0.05350399496410678,5000,2196,1290,2.0,6,3,1,0,1,0,1,0,0,1,0,0
575.0,3.0692503221975462,0.9735747358965892,12288,4616,2378,2.0,9,4,2,1,1,1,0,0,1,1,0,0
326.2,-0.9427651440645508,-0.051964991889612316,5000,2536,1272,1.5,6,3,1,1,1,1,0,1,0,1,0,0
298.2,-1.707878862734084,0.34314399612822394,5000,2129,864,1.0,7,3,2,0,1,0,0,1,0,1,0,0
313.1,-0.36424119772198776,0.4684039383764217,6949,2612,1438,1.5,7,3,1,1,1,0,1,0,0,0,0,1
344.9,-0.2045343201899492,1.658245979139747,10000,2099,1445,1.0,7,3,1,1,1,1,0,1,0,1,0,0
330.7,-0.8044041361647688,-0.13194711958174496,5000,2408,1470,2.0,7,3,1,0,1,0,0,1,0,1,0,0
348.0,0.3730869359990037,0.9534300746376905,9001,2840,1632,2.0,7,3,1,0,1,0,1,0,0,1,0,0
317.5,-1.895667192762021,0.17957464457999825,4450,1400,1232,2.0,7,3,1,0,1,0,0,1,0,1,0,0
330.8,-0.8907478713598576,-0.0789823340310838,5000,2560,1302,1.5,6,2,1,0,1,0,1,0,0,0,1,0
357.8,0.36209799592557507,2.3344662932765496,12255,2631,1275,1.5,6,3,1,1,1,1,0,1,0,1,0,0
414.7,2.22242946916717,1.6861510794267227,12972,3796,2054,1.5,6,3,3,0,1,0,1,0,0,1,0,0
318.8,-0.8930716832027981,-0.20012409716522134,4717,2512,1371,2.0,7,3,1,1,1,0,1,0,0,1,0,0
346.2,-0.5451860493212143,-0.2611912675730378,5000,2655,1541,2.0,7,3,1,0,1,0,0,1,0,1,0,0
245.1,-1.9501765439527712,0.09877660349657734,4142,1892,927,1.5,5,2,1,0,1,0,1,0,0,1,0,0
317.4,-0.9323476763236438,-0.055039951241415766,5000,2596,1244,1.5,7,3,1,0,1,0,0,1,0,1,0,0
247.3,-1.7587531401935401,-0.05535850118506708,4012,1994,1048,1.5,6,3,1,0,1,0,1,0,0,1,0,0
320.8,-0.804790373009449,3.349952434422009,13275,1516,808,1.5,6,2,1,1,1,0,0,1,0,1,0,0
328.8,-0.5559802302173321,-0.3685847718728207,4717,2824,1469,1.5,6,3,2,0,1,0,0,1,0,1,0,0
293.6,-1.0520720589400656,-0.30603302129378923,4289,2286,1436,2.0,7,3,1,0,1,0,0,1,0,1,0,0
280.1,0.7762750704246733,1.4610066674818933,10688,3014,1625,2.0,7,4,1,0,1,0,1,0,0,1,0,0
342.5,-0.3963502063838436,-0.45554323108781225,4717,2802,1620,2.0,7,3,1,1,1,0,0,1,0,1,0,0
337.2,0.205767736714192,-0.6465532221571483,5000,3112,1906,2.0,9,4,2,0,1,0,0,1,0,1,0,0
336.5,-0.6801524957342815,0.5786301605847293,6842,2269,1393,2.0,6,3,2,0,1,0,0,1,0,1,0,0
315.6,-0.6193611085714573,0.4800471878874251,6675,2392,1394,1.5,6,2,2,0,1,0,0,1,0,1,0,0
296.5,-0.2984306212717303,-0.08984669930125304,5683,2982,1452,1.0,6,3,1,1,1,1,0,1,0,1,0,0
239.7,-1.5320457546394972,0.4390545399769154,5450,2112,960,1.0,5,3,1,0,1,1,0,0,1,1,0,0
318.4,0.1167482388111757,-0.7142866075670453,4717,3222,1803,1.0,7,3,1,1,1,0,0,1,0,1,0,0
431.5,0.20196388143355587,0.08274085905452606,6733,2880,1792,2.0,7,3,2,1,1,1,0,0,1,0,0,1
349.8,-0.3718899361047459,0.5922327132526679,7242,2496,1460,2.0,7,3,1,1,1,0,0,1,0,1,0,0
